Station Name,Address,Estimated Open Date,Progress Status,Comments,
Aliso Viejo,"26813 La Paz Road
Aliso Viejo, CA 92656",Mid 2021,Open Retail,Open Retail as of 6/22/21,
Anaheim,"3731 E. La Palma
Anaheim, CA 92806",2016 November,Open - Retail,Open - Retail,
Baldwin Park,"14477 Merced Ave
Baldwin Park, CA 91706",2022 February,Open - Retail,Open - Retail,
Berkeley,"1250 University Avenue
Berkeley, CA 94702",2021 January,Currently Unavailable,Station anticipated to reopen in Q1 2022,
Campbell - E. Hamilton,"337 East Hamilton Avenue
Campbell, CA 95008",Early 2021,Open - Retail,Open Retail as of 5/24/21,
Campbell - Winchester,"2855 Winchester Boulevard
Campbell, CA 95008",2016 June,Open - Retail,Open - Retail,
Citrus Heights,"6141 Greenback Lane
Citrus Heights, CA 95621",2018 December,Open - Retail,Open - Retail,
Concord,"605 Contra Costa Boulevard
Concord, CA 94523",Mid 2021,Open Retail,Open Retail as of 5/28/2021,
Costa Mesa - Harbor Blvd,"2050 Harbor Boulevard
Costa Mesa, CA 92627",2016 January,Open - Retail,Open - Retail,
Costa Mesa - Bristol St,"2995 Briston Street
Costa Mesa, CA 92626",2021 December,Open - Retail,Open - Retail,
Del Mar,"3060 Carmel Valley Road    San
Diego, CA 92130",2016 December,Open - Retail,Open - Retail,
Diamond Bar - SCAQMD,"21865 E. Copley Drive
Diamond Bar, CA 91765",2015 September,Open - Retail,Open Retail - check SOSS.,
Emeryville (Upgrade),"1172 45th Street
Emeryville CA 94608",2018 November,Open - Retail,Open - Retail,
Fairfax - LA,"7751 Beverly Boulevard
Los Angeles, CA 90036",2016 May,Open - Retail,Open - Retail,
Fountain Valley,"18480 Brookhurst Street
Fountain Valley, CA 92708",2020 July,Open - Retail,Open Retail as of 7/3/20.,
Fremont,"41700 Grimmer Boulevard
Fremont, CA 94538",2017 September,Open - Retail,Open - Retail,
Harris Ranch,"24505 West Dorris Avenue
Coalinga, CA 93210",2015 December,Open - Retail,Open - Retail,
Hayward,"391 West A Street        Hayward,
CA 94541",2016 April,Open - Retail,Open - Retail,
Hollywood,"5700 Hollywood Boulevard    Los
Angeles, CA 90028",2016 November,Open - Retail,Open - Retail,
La Canada Flintridge,"550 Foothill Boulevard           La
Canada Flintridge, CA 91011",2016 January,Open - Retail,Open - Retail,
Lake Forest,"20731 Lake Forest Drive     Lake
Forest, CA 92630",2016 March,Open - Retail,Open - Retail,
Lawndale,"15606 Inglewood Avenue
Lawndale, CA 90260",2017 June,Open - Retail,Open - Retail,
Long Beach,"3401 Long Beach Boulevard
Long Beach, CA 90807",2016 February,Open - Retail,Open - Retail,
